Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, greedy_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, greedy_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16011, 47, 5, 7.213, 1.525, 0.830, 300.605, 0.390, 171.350, 1.000, 0.000, 2.000, 0.000, 0.000, -1, 0.000, 0, 0, False, 953.0, 2493.0, 2493.0, 0.080, 100.000, 1.0, -1, True, 2526.0, 0.690, 100.000, 3.0, -1, True, 2588.0, 0.075, 100.000, 2.0, -1, True, 2605.0, 0.070, 100.000, 1.0, -1, True, 2555.0, 0.070, 100.000, 4.0, -1, True, 2669.0, 0.075, 100.000, 2.0, -1, True, 2493.0
16012, 11, 5, 6.636, 4.137, 1.364, 298.438, 0.619, 99.725, 2.000, 0.000, 4.000, 0.000, 0.000, -1, 0.000, 0, 0, False, 1208.0, 1523.0, 1696.0, 0.010, 100.000, 3.0, -1, True, 1690.0, 0.030, 100.000, 1.0, -1, True, 1523.0, 0.009, 100.000, 3.0, -1, True, 1863.0, 0.010, 100.000, 0.0, -1, False, 1645.0, 0.010, 100.000, 0.0, -1, False, 1570.0, 0.015, 100.000, 2.0, -1, True, 1523.0
16013, 19, 6, 6.789, 4.380, 2.789, 303.845, 0.879, 42.761, 2.737, 0.562, 4.000, 0.205, 2.000, -1, 0.000, 0, 0, False, 3045.0, 3045.0, 3113.0, 0.025, 100.000, 9.0, -1, True, 3157.0, 0.045, 100.000, 8.0, -1, True, 3045.0, 0.025, 100.000, 7.0, -1, True, 3167.0, 0.030, 100.000, 8.0, -1, True, 3075.0, 0.040, 100.000, 9.0, -1, True, 3097.0, 0.035, 100.000, 7.0, -1, True, 3045.0
16014, 48, 7, 7.229, 5.499, 0.938, 298.081, 0.717, 75.965, 2.833, 0.429, 5.000, 0.152, 2.000, -1, 0.000, 0, 0, False, 2150.0, 4415.0, 5125.0, 0.245, 100.000, 18.0, -1, True, 4415.0, 1.178, 100.000, 20.0, -1, True, 4890.0, 0.272, 100.000, 19.0, -1, True, 5093.0, 0.234, 100.000, 21.0, -1, True, 4636.0, 0.247, 100.000, 24.0, -1, True, 4935.0, 0.209, 100.000, 24.0, -1, True, 4415.0
16015, 44, 7, 6.977, 5.550, 1.023, 299.583, 0.906, 32.721, 2.682, 0.601, 5.000, 0.224, 2.000, -1, 0.000, 0, 0, False, 1909.0, 2254.0, 2642.0, 0.227, 100.000, 79.0, -1, True, 2606.0, 1.147, 100.000, 83.0, -1, True, 2254.0, 0.240, 100.000, 87.0, -1, True, 2707.0, 0.271, 100.000, 71.0, -1, True, 2371.0, 0.257, 100.000, 85.0, -1, True, 2586.0, 0.217, 100.000, 76.0, -1, True, 2254.0
16016, 74, 5, 2.473, 1.415, 4.446, 293.344, 0.108, 227.529, 0.527, 0.503, 1.000, 0.954, 1.000, -1, 0.000, 0, 0, False, 12869.0, 13283.0, 13659.0, 0.059, 100.000, 0.0, -1, False, 14480.0, 0.080, 100.000, 0.0, -1, False, 13283.0, 0.070, 100.000, 0.0, -1, False, 13626.0, 0.050, 100.000, 0.0, -1, False, 14745.0, 0.074, 100.000, 0.0, -1, False, 13748.0, 0.070, 100.000, 0.0, -1, False, 13283.0
16017, 68, 5, 2.279, 1.458, 4.397, 306.284, 0.347, 185.659, 0.515, 0.503, 1.000, 0.978, 1.000, -1, 0.000, 0, 0, False, 11245.0, 11658.0, 11792.0, 0.060, 100.000, 0.0, -1, False, 12519.0, 0.080, 100.000, 0.0, -1, False, 11658.0, 0.050, 100.000, 0.0, -1, False, 12022.0, 0.050, 100.000, 1.0, -1, True, 11844.0, 0.060, 100.000, 0.0, -1, False, 12070.0, 0.060, 100.000, 0.0, -1, False, 11658.0
16018, 73, 3, 2.452, 1.503, 0.973, 308.637, 0.134, 229.595, 0.521, 0.503, 2.000, 0.966, 1.000, -1, 0.000, 0, 0, False, 2746.0, 8485.0, 9078.0, 0.046, 100.000, 0.0, -1, False, 8485.0, 0.240, 100.000, 0.0, -1, False, 8979.0, 0.043, 100.000, 0.0, -1, False, 9441.0, 0.044, 100.000, 0.0, -1, False, 8686.0, 0.045, 100.000, 0.0, -1, False, 9189.0, 0.050, 100.000, 0.0, -1, False, 8485.0
16019, 76, 6, 2.342, 1.994, 1.079, 300.157, 0.520, 121.561, 0.816, 0.828, 2.000, 1.015, 2.000, -1, 0.000, 0, 0, False, 4552.0, 5261.0, 6446.0, 0.070, 100.000, 7.0, -1, True, 6199.0, 0.305, 100.000, 5.0, -1, True, 5299.0, 0.070, 100.000, 8.0, -1, True, 6117.0, 0.070, 100.000, 5.0, -1, True, 5261.0, 0.070, 100.000, 11.0, -1, True, 5857.0, 0.070, 100.000, 7.0, -1, True, 5261.0
16020, 59, 9, 2.559, 6.894, 4.305, 293.344, 0.769, 61.380, 1.797, 1.399, 7.000, 0.779, 4.000, -1, 0.000, 0, 0, False, 9529.0, 10196.0, 10958.0, 0.150, 100.000, 13.0, -1, True, 10900.0, 0.265, 100.000, 16.0, -1, True, 10196.0, 0.150, 100.000, 21.0, -1, True, 11021.0, 0.160, 100.000, 17.0, -1, True, 11063.0, 0.150, 100.000, 16.0, -1, True, 10787.0, 0.145, 100.000, 18.0, -1, True, 10196.0
