Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, cross_GA_1, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, cross_GA_2, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, cross_GA_3, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, cross_GA_4, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, cross_GA_5, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, cross_GA_6, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, cross_GA_7, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, cross_GA_8, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, cross_GA_9, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, cross_GA_10, time, cross_time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16003, 39, 7, 2.436, 2.611, 0.667, 295.495, 0.639, 85.125, 1.205, 1.196, 3.000, 0.992, 3.000, 1812, 0.000, 0, 0, False, 1774.0, 2602.0, 3530.0, 1.434, 100.000, 0, 30, False, 2602.0, 1.515, 100.000, 9.0, 30, True, 3045.0, 1.477, 100.000, 1.0, 29, True, 3141.0, 1.433, 100.000, 3.0, 48, True, 3110.0, 1.499, 100.000, 9.0, 15, True, 3532.0, 1.704, 100.000, 4.0, 27, True, 3040.0, 1.431, 100.000, 4.0, 50, True, 3163.0, 1.863, 100.000, 2.0, 44, True, 3320.0, 1.784, 100.000, 8.0, 43, True, 2984.0, 1.768, 100.000, 10.0, 50, True, 2602.0
16010, 26, 6, 7.500, 2.082, 0.654, 297.497, 0.272, 172.362, 1.808, 0.402, 2.000, 0.222, 1.000, 3478, 0.001, 0, 0, False, 632.0, 2003.0, 2391.0, 0.858, 100.000, 0.0, 25, False, 2199.0, 0.895, 100.000, 0.0, 46, False, 2051.0, 0.866, 100.000, 0.0, 36, False, 2252.0, 1.091, 100.000, 0.0, 40, False, 2142.0, 0.968, 100.000, 0, 18, False, 2378.0, 1.001, 100.000, 0.0, 47, False, 2257.0, 0.997, 100.000, 0, 41, False, 2327.0, 0.925, 100.000, 0, 45, False, 2485.0, 1.046, 100.000, 0, 47, False, 2003.0, 0.984, 100.000, 0, 42, False, 2003.0
16013, 19, 6, 6.789, 4.380, 2.789, 303.845, 0.879, 42.761, 2.737, 0.562, 4.000, 0.205, 2.000, 15852, 0.001, 0, 0, False, 3045.0, 3441.0, 3441.0, 0.821, 100.000, 6.0, 45, True, 3712.0, 0.802, 100.000, 5.0, 38, True, 3557.0, 0.785, 100.000, 4.0, 50, True, 3606.0, 0.844, 100.000, 3.0, 20, True, 3487.0, 0.829, 100.000, 3.0, 25, True, 3699.0, 0.816, 100.000, 0, 27, False, 3474.0, 0.800, 100.000, 4.0, 50, True, 3482.0, 0.795, 100.000, 2.0, 37, True, 3656.0, 0.727, 100.000, 6.0, 43, True, 3592.0, 0.809, 100.000, 1.0, 43, True, 3441.0
16011, 47, 5, 7.213, 1.525, 0.830, 300.605, 0.390, 171.350, 1.000, 0.000, 2.000, 0.000, 0.000, 2822, 0.000, 0, 0, False, 953.0, 3326.0, 3567.0, 1.361, 100.000, 0.0, 44, False, 3454.0, 1.741, 100.000, 0.0, 49, False, 3401.0, 1.625, 100.000, 0.0, 41, False, 3540.0, 1.577, 100.000, 0.0, 50, False, 4144.0, 1.748, 100.000, 0, 50, False, 3326.0, 1.645, 100.000, 0.0, 39, False, 3418.0, 1.688, 100.000, 1.0, 50, True, 3500.0, 1.571, 100.000, 0.0, 44, False, 3672.0, 1.372, 100.000, 0.0, 45, False, 3597.0, 1.415, 100.000, 1.0, 23, True, 3326.0
16018, 73, 3, 2.452, 1.503, 0.973, 308.637, 0.134, 229.595, 0.521, 0.503, 2.000, 0.966, 1.000, 2340, 0.003, 0, 0, False, 2746.0, 9606.0, 10242.0, 1.867, 100.000, 0.0, 34, False, 10088.0, 2.027, 100.000, 0.0, 43, False, 10028.0, 1.644, 100.000, 0.0, 32, False, 10724.0, 1.653, 100.000, 0.0, 47, False, 10303.0, 1.670, 100.000, 0.0, 47, False, 9606.0, 1.888, 100.000, 0.0, 37, False, 10491.0, 1.750, 100.000, 0.0, 43, False, 9847.0, 1.734, 100.000, 0.0, 50, False, 9744.0, 1.450, 100.000, 0.0, 34, False, 9696.0, 1.597, 100.000, 0.0, 20, False, 9606.0
16015, 44, 7, 6.977, 5.550, 1.023, 299.583, 0.906, 32.721, 2.682, 0.601, 5.000, 0.224, 2.000, 371966, 0.001, 0, 0, False, 1909.0, 3455.0, 3559.0, 2.046, 100.000, 45.0, 48, True, 3455.0, 2.080, 100.000, 53.0, 47, True, 3925.0, 1.831, 100.000, 44.0, 50, True, 3967.0, 1.807, 100.000, 40.0, 37, True, 3928.0, 1.827, 100.000, 38.0, 50, True, 4222.0, 1.938, 100.000, 41.0, 49, True, 3634.0, 1.720, 100.000, 50.0, 46, True, 3812.0, 1.812, 100.000, 47.0, 48, True, 3667.0, 1.886, 100.000, 45.0, 50, True, 3783.0, 1.863, 100.000, 36.0, 40, True, 3455.0
16017, 68, 5, 2.279, 1.458, 4.397, 306.284, 0.347, 185.659, 0.515, 0.503, 1.000, 0.978, 1.000, 388, 0.001, 0, 0, False, 11245.0, 12286.0, 12519.0, 2.627, 100.000, 0, 31, False, 12874.0, 2.615, 100.000, 0, 36, False, 12336.0, 2.185, 100.000, 0, 26, False, 12286.0, 2.201, 100.000, 0, 33, False, 12832.0, 2.418, 100.000, 0, 49, False, 13101.0, 2.351, 100.000, 0, 32, False, 12699.0, 2.275, 100.000, 0, 49, False, 12933.0, 2.099, 100.000, 0, 34, False, 12477.0, 2.340, 100.000, 0, 49, False, 12951.0, 2.420, 100.000, 0, 15, False, 12286.0
16014, 48, 7, 7.229, 5.499, 0.938, 298.081, 0.717, 75.965, 2.833, 0.429, 5.000, 0.152, 2.000, 458988, 0.001, 0, 0, False, 2150.0, 6888.0, 7067.0, 2.374, 100.000, 8.0, 35, True, 7147.0, 2.274, 100.000, 11.0, 50, True, 7638.0, 2.190, 100.000, 6.0, 49, True, 6888.0, 1.896, 100.000, 15.0, 45, True, 7543.0, 1.941, 100.000, 8.0, 43, True, 7409.0, 2.154, 100.000, 8.0, 49, True, 7023.0, 2.155, 100.000, 10.0, 47, True, 7168.0, 1.904, 100.000, 9.0, 40, True, 7730.0, 2.012, 100.000, 5.0, 45, True, 7310.0, 2.055, 100.000, 10.0, 46, True, 6888.0
16016, 74, 5, 2.473, 1.415, 4.446, 293.344, 0.108, 227.529, 0.527, 0.503, 1.000, 0.954, 1.000, 428, 0.000, 0, 0, False, 12869.0, 13967.0, 14217.0, 3.001, 100.000, 0, 37, False, 13995.0, 2.755, 100.000, 0.0, 48, False, 14034.0, 2.725, 100.000, 0, 38, False, 14547.0, 2.503, 100.000, 0, 50, False, 14578.0, 2.730, 100.000, 0, 44, False, 14218.0, 2.389, 100.000, 0, 50, False, 14050.0, 2.667, 100.000, 0, 48, False, 13990.0, 2.561, 100.000, 0, 40, False, 14006.0, 2.643, 100.000, 0, 34, False, 13967.0, 2.523, 100.000, 0, 41, False, 13967.0
16019, 76, 6, 2.342, 1.994, 1.079, 300.157, 0.520, 121.561, 0.816, 0.828, 2.000, 1.015, 2.000, 2604, 0.000, 0, 0, False, 4552.0, 6760.0, 6760.0, 3.245, 100.000, 6.0, 49, True, 7094.0, 2.676, 100.000, 5.0, 36, True, 6879.0, 2.820, 100.000, 3.0, 27, True, 7680.0, 3.021, 100.000, 2.0, 40, True, 7645.0, 3.029, 100.000, 1.0, 49, True, 6829.0, 2.738, 100.000, 6.0, 27, True, 7022.0, 2.863, 100.000, 2.0, 41, True, 7175.0, 2.899, 100.000, 5.0, 50, True, 7053.0, 2.816, 100.000, 3.0, 36, True, 7252.0, 2.625, 100.000, 4.0, 49, True, 6760.0
