Problem_ID, |Operations|, |Resources|, Avg(Mi), Avg(Rim), Avg(pref), Avg(Tim), Avg(Him), Avg(Dim), Rim_mean, Rim_stdev, Rim_median, Rim_CV, Rim_range, Cross_resources, Total_run_time, Nodes, Queue_size, MIP_infeasible, LB, UB, GA_1, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_2, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_3, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_4, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_5, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_6, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_7, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_8, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_9, time, feasibles, cross_resources, improved_generation, cross_best_solution, GA_10, time, feasibles, cross_resources, improved_generation, cross_best_solution, solution
16010, 26, 6, 7.500, 2.082, 0.654, 297.497, 0.272, 172.362, 1.808, 0.402, 2.000, 0.222, 1.000, 3478, 0.000, 0, 0, False, 632.0, 1828.0, 1886.0, 5.104, 100.000, 0.0, 46, False, 2249.0, 5.303, 100.000, 0.0, 7, False, 1965.0, 4.843, 100.000, 1.0, 50, True, 1930.0, 5.073, 100.000, 0.0, 32, False, 1957.0, 4.972, 100.000, 0.0, 40, False, 1988.0, 5.397, 100.000, 0.0, 47, False, 1828.0, 4.930, 100.000, 0.0, 42, False, 2025.0, 5.686, 100.000, 2.0, 27, True, 2033.0, 5.422, 100.000, 0.0, 40, False, 1895.0, 5.081, 100.000, 1.0, 21, True, 1828.0
16013, 19, 6, 6.789, 4.380, 2.789, 303.845, 0.879, 42.761, 2.737, 0.562, 4.000, 0.205, 2.000, 15852, 0.000, 0, 0, False, 3045.0, 3227.0, 3397.0, 5.699, 100.000, 8.0, 43, True, 3436.0, 5.355, 100.000, 6.0, 30, True, 3289.0, 5.362, 100.000, 6.0, 48, True, 3333.0, 5.564, 100.000, 4.0, 40, True, 3378.0, 5.383, 100.000, 10.0, 30, True, 3366.0, 5.662, 100.000, 8.0, 49, True, 3380.0, 5.983, 100.000, 6.0, 50, True, 3402.0, 5.834, 100.000, 9.0, 47, True, 3508.0, 5.138, 100.000, 4.0, 50, True, 3227.0, 5.352, 100.000, 8.0, 50, True, 3227.0
16003, 39, 7, 2.436, 2.611, 0.667, 295.495, 0.639, 85.125, 1.205, 1.196, 3.000, 0.992, 3.000, 1812, 0.001, 0, 0, False, 1774.0, 2500.0, 2793.0, 11.900, 100.000, 5.0, 35, True, 2514.0, 12.842, 100.000, 14.0, 36, True, 2514.0, 14.079, 100.000, 13.0, 14, True, 2811.0, 13.038, 100.000, 16.0, 26, True, 2500.0, 13.889, 100.000, 6.0, 37, True, 2518.0, 12.208, 100.000, 9.0, 9, True, 2721.0, 14.085, 100.000, 10.0, 14, True, 2628.0, 13.976, 100.000, 9.0, 13, True, 2720.0, 13.821, 100.000, 10.0, 9, True, 2672.0, 13.755, 100.000, 15.0, 44, True, 2500.0
16011, 47, 5, 7.213, 1.525, 0.830, 300.605, 0.390, 171.350, 1.000, 0.000, 2.000, 0.000, 0.000, 2822, 0.000, 0, 0, False, 953.0, 2839.0, 2994.0, 11.345, 100.000, 3.0, 23, True, 3274.0, 11.372, 100.000, 1.0, 5, True, 3196.0, 11.955, 100.000, 2.0, 20, True, 2839.0, 12.123, 100.000, 2.0, 33, True, 3297.0, 12.152, 100.000, 3.0, 41, True, 3176.0, 11.397, 100.000, 1.0, 26, True, 2974.0, 11.897, 100.000, 0.0, 41, False, 2862.0, 11.182, 100.000, 3.0, 36, True, 3092.0, 11.316, 100.000, 1.0, 41, True, 3020.0, 11.677, 100.000, 4.0, 21, True, 2839.0
16017, 68, 5, 2.279, 1.458, 4.397, 306.284, 0.347, 185.659, 0.515, 0.503, 1.000, 0.978, 1.000, 388, 0.000, 0, 0, False, 11245.0, 11844.0, 11844.0, 20.513, 100.000, 0.0, 49, False, 12526.0, 20.642, 100.000, 0.0, 48, False, 12431.0, 19.663, 100.000, 0.0, 42, False, 12571.0, 20.302, 100.000, 0.0, 49, False, 12276.0, 20.739, 100.000, 0.0, 42, False, 12359.0, 20.406, 100.000, 0.0, 49, False, 12449.0, 20.693, 100.000, 0.0, 41, False, 12302.0, 20.860, 100.000, 1.0, 41, True, 12391.0, 20.373, 100.000, 0.0, 40, False, 12387.0, 20.805, 100.000, 0.0, 34, False, 11844.0
16016, 74, 5, 2.473, 1.415, 4.446, 293.344, 0.108, 227.529, 0.527, 0.503, 1.000, 0.954, 1.000, 428, 0.000, 0, 0, False, 12869.0, 13954.0, 14605.0, 23.756, 100.000, 0.0, 49, False, 14275.0, 24.644, 100.000, 0.0, 48, False, 14250.0, 23.545, 100.000, 0.0, 43, False, 14302.0, 25.451, 100.000, 0.0, 26, False, 14421.0, 24.448, 100.000, 0.0, 45, False, 14615.0, 22.908, 100.000, 0.0, 47, False, 13978.0, 25.077, 100.000, 0.0, 28, False, 13954.0, 24.220, 100.000, 0.0, 49, False, 14570.0, 24.481, 100.000, 0.0, 43, False, 14570.0, 24.298, 100.000, 0.0, 46, False, 13954.0
16018, 73, 3, 2.452, 1.503, 0.973, 308.637, 0.134, 229.595, 0.521, 0.503, 2.000, 0.966, 1.000, 2340, 0.001, 0, 0, False, 2746.0, 9176.0, 9176.0, 22.736, 100.000, 0.0, 39, False, 9204.0, 22.941, 100.000, 0.0, 35, False, 9755.0, 23.594, 100.000, 0.0, 39, False, 9209.0, 22.843, 100.000, 0.0, 47, False, 9606.0, 23.149, 100.000, 0.0, 35, False, 9241.0, 22.504, 100.000, 0.0, 44, False, 9359.0, 22.895, 100.000, 0.0, 45, False, 9452.0, 23.128, 100.000, 0.0, 32, False, 9498.0, 23.546, 100.000, 0.0, 41, False, 9262.0, 23.019, 100.000, 0.0, 41, False, 9176.0
16015, 44, 7, 6.977, 5.550, 1.023, 299.583, 0.906, 32.721, 2.682, 0.601, 5.000, 0.224, 2.000, 371966, 0.001, 0, 0, False, 1909.0, 3011.0, 3142.0, 31.696, 100.000, 66.0, 34, True, 3321.0, 30.795, 100.000, 69.0, 2, True, 3087.0, 31.288, 100.000, 64.0, 44, True, 3132.0, 32.948, 100.000, 72.0, 23, True, 3215.0, 32.811, 100.000, 68.0, 39, True, 3011.0, 30.685, 100.000, 75.0, 43, True, 3152.0, 30.756, 100.000, 66.0, 43, True, 3070.0, 31.082, 100.000, 60.0, 29, True, 3143.0, 32.689, 100.000, 71.0, 15, True, 3133.0, 31.153, 100.000, 64.0, 50, True, 3011.0
16014, 48, 7, 7.229, 5.499, 0.938, 298.081, 0.717, 75.965, 2.833, 0.429, 5.000, 0.152, 2.000, 458988, 0.000, 0, 0, False, 2150.0, 5543.0, 6253.0, 40.377, 100.000, 25.0, 47, True, 6143.0, 37.798, 100.000, 22.0, 40, True, 6268.0, 39.655, 100.000, 23.0, 41, True, 6214.0, 39.863, 100.000, 25.0, 40, True, 5792.0, 38.831, 100.000, 30.0, 49, True, 6255.0, 38.062, 100.000, 24.0, 48, True, 6139.0, 39.927, 100.000, 19.0, 16, True, 6513.0, 40.771, 100.000, 20.0, 46, True, 6288.0, 40.463, 100.000, 27.0, 45, True, 5543.0, 37.257, 100.000, 22.0, 42, True, 5543.0
16019, 76, 6, 2.342, 1.994, 1.079, 300.157, 0.520, 121.561, 0.816, 0.828, 2.000, 1.015, 2.000, 2604, 0.000, 0, 0, False, 4552.0, 5945.0, 6346.0, 33.489, 100.000, 7.0, 50, True, 6365.0, 33.040, 100.000, 4.0, 25, True, 6380.0, 34.648, 100.000, 5.0, 50, True, 6452.0, 35.466, 100.000, 9.0, 34, True, 6275.0, 35.051, 100.000, 13.0, 34, True, 6594.0, 34.851, 100.000, 7.0, 26, True, 6342.0, 35.182, 100.000, 7.0, 49, True, 6290.0, 34.922, 100.000, 6.0, 48, True, 6556.0, 33.011, 100.000, 5.0, 41, True, 5945.0, 34.095, 100.000, 9.0, 41, True, 5945.0
